--- GLOBAL RESULTS ---
Metric,Solid_Baseline,Porous_Result,Change_Percent
CL (Lift Coeff),0.275966,0.275872,-0.03%
CD (Drag Coeff),0.038353,0.038357,0.01%

--- PANEL DISTRIBUTION DATA ---
Panel_ID,XC,YC,Nx,Ny,Panel_Length,Cp_Solid,Cp_Porous,Cp_Difference,V_leakage
177,0.029251,-0.042100,-0.545127,-0.838353,0.003945,0.378668,0.375610,-0.003057,0.000000
178,0.032648,-0.044233,-0.518532,-0.855059,0.004079,0.333164,0.329459,-0.003705,0.000000
179,0.036226,-0.046330,-0.493130,-0.869956,0.004216,0.290534,0.285869,-0.004665,0.000000
180,0.039983,-0.048390,-0.468886,-0.883259,0.004354,0.250709,0.244447,-0.006261,0.000000
181,0.043917,-0.050413,-0.445752,-0.895157,0.004494,0.213582,0.204067,-0.009515,0.000000
182,0.048027,-0.052396,-0.423675,-0.905814,0.004634,0.179024,0.158526,-0.020498,0.000000
183,0.052311,-0.054339,-0.402600,-0.915376,0.004775,0.146894,0.146754,-0.000141,-0.179518
184,0.056768,-0.056240,-0.382470,-0.923968,0.004916,0.117048,0.137033,0.019985,0.000000
185,0.061396,-0.058099,-0.363229,-0.931700,0.005058,0.089340,0.098629,0.009289,0.000000
186,0.066192,-0.059914,-0.344823,-0.938668,0.005200,0.063630,0.069717,0.006087,0.000000
187,0.071156,-0.061684,-0.327199,-0.944956,0.005341,0.039786,0.044303,0.004517,0.000000
188,0.076286,-0.063409,-0.310309,-0.950636,0.005482,0.017680,0.021262,0.003582,0.000000
189,0.081578,-0.065086,-0.294106,-0.955773,0.005622,-0.002804,0.000156,0.002960,0.000000
190,0.087032,-0.066715,-0.278547,-0.960422,0.005762,-0.021776,-0.019260,0.002516,0.000000
191,0.092645,-0.068296,-0.263594,-0.964634,0.005901,-0.039338,-0.037154,0.002184,0.000000
192,0.098416,-0.069826,-0.249208,-0.968450,0.006039,-0.055583,-0.053657,0.001926,0.000000
193,0.104341,-0.071305,-0.235355,-0.971909,0.006175,-0.070596,-0.068877,0.001720,0.000000
