panel_id,XB_start_m,YB_start_m,XB_end_m,YB_end_m,XC_m,YC_m,XC_over_c,YC_over_c,panel_length_m,tx,ty,nx,ny,Vt_m_s,Cp,normal_transpiration_m_s,is_pore1_panel,is_pore2_panel
37,0.9865492554910633,-0.0029072079557843768,0.985815866457337,-0.0030642752076358065,0.9861825609742001,-0.0029857415817100916,0.9861825609742001,-0.0029857415817100916,0.0007500197306699323,-0.9778263207439234,-0.20941749320532407,0.20941749320532357,-0.9778263207439234,-5.995336338606197,0.3340919536339372,0.0,0,0
38,0.985815866457337,-0.0030642752076358065,0.9850632982450529,-0.0032252962042841446,0.985439582351195,-0.0031447857059599756,0.985439582351195,-0.0031447857059599756,0.0007696016342901648,-0.9778672221482648,-0.2092264224423772,0.2092264224423767,-0.9778672221482649,-6.020329429903594,0.328528365483051,0.0,0,0
39,0.9850632982450529,-0.0032252962042841446,0.9842915805643155,-0.0033902529390472456,0.9846774394046842,-0.003307774571665695,0.9846774394046842,-0.003307774571665695,0.0007891507480236933,-0.9779090784238738,-0.20903070189847686,0.20903070189847725,-0.9779090784238736,-6.044899009402136,0.32303649316879557,0.0,0,0
40,0.9842915805643155,-0.0033902529390472456,0.9835007438812176,-0.0035591270035228825,0.9838961622227665,-0.003474689971285064,0.9838961622227665,-0.003474689971285064,0.0008086662531514116,-0.9779518806628263,-0.2088303596416028,0.20883035964160274,-0.9779518806628263,-6.069073844587195,0.3176110242912281,0.0,0,0
41,0.9835007438812176,-0.0035591270035228825,0.9826908194166369,-0.0037318995923123666,0.9830957816489272,-0.0036455132979176246,0.9830957816489272,-0.0036455132979176246,0.0008281473333672058,-0.9779956197981116,-0.20862542427927525,0.2086254242792756,-0.9779956197981114,-6.0928819479735035,0.3122466956242954,0.0,0,0
42,0.9826908194166369,-0.0037318995923123666,0.9818618391450049,-0.003908551507821483,0.982276329280821,-0.003820225550066925,0.982276329280821,-0.003820225550066925,0.0008475931748239561,-0.9780402866082628,-0.2084159249463129,0.20841592494631325,-0.9780402866082627,-6.116350950787066,0.3069382157668331,0.0,0,0
43,0.9818618391450049,-0.003908551507821483,0.9810138357930429,-0.004089063165135031,0.9814378374690239,-0.003998807336478257,0.9814378374690239,-0.003998807336478257,0.0008670029661799741,-0.9780858717223478,-0.20820189129096525,0.20820189129096517,-0.9780858717223478,-6.1395085227936805,0.3016801749352126,0.0,0,0
44,0.9810138357930429,-0.004089063165135031,0.9801468428384715,-0.00427341459696144,0.9805803393157573,-0.0041812388810482356,0.9805803393157573,-0.0041812388810482356,0.0008863758986416843,-0.9781323656250016,-0.20798335346089145,0.2079833534608918,-0.9781323656250016,-6.162382851464313,0.2964669387217631,0.0,0,0
45,0.9801468428384715,-0.00427341459696144,0.979260894508688,-0.004461585458646385,0.9797038686735797,-0.004367500027803913,0.9797038686735797,-0.004367500027803913,0.0009057111660090287,-0.9781797586612417,-0.2077603420901948,0.2077603420901943,-0.9781797586612418,-6.18500318867332,0.29129252368980063,0.0,0,0
46,0.979260894508688,-0.004461585458646385,0.9783560257794153,-0.004653555033248705,0.9788084601440517,-0.004557570245947546,0.9788084601440517,-0.004557570245947546,0.0009250079647163523,-0.9782280410420342,-0.20753288828295213,0.20753288828295208,-0.9782280410420342,-6.20740046152628,0.2861504552785047,0.0,0,0
