Case_Name,Alpha_deg,Panel_XC,Cp_Solid,Cp_Porous,Leakage_Velocity
Large Pores,-5.0,0.984992,0.255815,0.307942,0.000000
Large Pores,-5.0,0.987284,0.270574,0.325406,0.000000
Large Pores,-5.0,0.989388,0.286198,0.344568,0.000000
Large Pores,-5.0,0.991303,0.302848,0.365395,0.000000
Large Pores,-5.0,0.993029,0.320733,0.388056,0.000000
Large Pores,-5.0,0.994564,0.340131,0.412890,0.000000
Large Pores,-5.0,0.995909,0.361433,0.440412,0.000000
Large Pores,-5.0,0.997063,0.385199,0.471385,0.000000
Large Pores,-5.0,0.998026,0.412289,0.506971,0.000000
Large Pores,-5.0,0.998796,0.444105,0.549060,0.000000
Large Pores,-5.0,0.999374,0.483186,0.601034,0.000000
Large Pores,-5.0,0.999759,0.534769,0.669754,0.000000
Large Pores,-5.0,0.999952,0.609977,0.767879,0.000000
Large Pores,5.0,0.999952,0.609946,0.679454,-0.624619
Large Pores,5.0,0.999759,0.534759,0.561947,-0.506352
Large Pores,5.0,0.999374,0.483181,0.483408,-0.426852
Large Pores,5.0,0.998796,0.444101,0.426436,-0.368468
Large Pores,5.0,0.998026,0.412285,0.381775,-0.322184
Large Pores,5.0,0.997063,0.385197,0.344965,-0.283642
Large Pores,5.0,0.995909,0.361430,0.313574,-0.250446
Large Pores,5.0,0.994564,0.340129,0.286145,-0.221141
Large Pores,5.0,0.993029,0.320730,0.261735,-0.194773
Large Pores,5.0,0.991303,0.302846,0.239694,-0.170668
Large Pores,5.0,0.989388,0.286196,0.219547,-0.148321
Large Pores,5.0,0.987284,0.270572,0.200915,-0.127307
Large Pores,5.0,0.984992,0.255813,0.183444,-0.107192
Large Pores,5.0,0.982514,0.241795,0.166644,-0.087316
Large Pores,5.0,0.979849,0.228419,0.149160,-0.065520
Large Pores,5.0,0.976999,0.215603,0.140430,0.000000
Large Pores,5.0,0.973966,0.203282,0.137444,0.000000
Large Pores,5.0,0.970749,0.191400,0.130234,0.000000
Large Pores,5.0,0.967352,0.179912,0.121854,0.000000
Large Pores,5.0,0.963774,0.168778,0.113017,0.000000
Large Pores,5.0,0.960017,0.157964,0.104002,0.000000
Large Pores,5.0,0.956083,0.147442,0.094942,0.000000
Large Pores,5.0,0.951973,0.137187,0.085908,0.000000
Large Pores,5.0,0.947689,0.127177,0.076939,0.000000
Large Pores,5.0,0.943232,0.117391,0.068054,0.000000
Large Pores,5.0,0.938604,0.107814,0.059267,0.000000
Large Pores,5.0,0.933808,0.098430,0.050581,0.000000
Large Pores,5.0,0.928844,0.089225,0.042000,0.000000
Large Pores,5.0,0.923714,0.080186,0.033522,0.000000
Large Pores,5.0,0.918422,0.071303,0.025146,0.000000
Large Pores,5.0,0.912968,0.062565,0.016868,0.000000
Large Pores,5.0,0.907355,0.053962,0.008684,0.000000
Large Pores,5.0,0.901584,0.045486,0.000592,0.000000
Large Pores,5.0,0.895659,0.037128,-0.007413,0.000000
Large Pores,5.0,0.889582,0.028881,-0.015336,0.000000
Large Pores,5.0,0.883354,0.020738,-0.023181,0.000000
Large Pores,5.0,0.876979,0.012691,-0.030953,0.000000
Large Pores,5.0,0.870458,0.004734,-0.038655,0.000000
Large Pores,5.0,0.863794,-0.003140,-0.046294,0.000000
Large Pores,5.0,0.856990,-0.010936,-0.053872,0.000000
Large Pores,5.0,0.850049,-0.018660,-0.061395,0.000000
Large Pores,5.0,0.842972,-0.026319,-0.068868,0.000000
Large Pores,5.0,0.835763,-0.033917,-0.076294,0.000000
Large Pores,5.0,0.828425,-0.041460,-0.083679,0.000000
Large Pores,5.0,0.820960,-0.048953,-0.091027,0.000000
Large Pores,5.0,0.813372,-0.056402,-0.098343,0.000000
Large Pores,5.0,0.805662,-0.063812,-0.105630,0.000000
Large Pores,5.0,0.797835,-0.071188,-0.112895,0.000000
Large Pores,5.0,0.789893,-0.078534,-0.120140,0.000000
Large Pores,5.0,0.781840,-0.085857,-0.127371,0.000000
